TSNE1,TSNE2
-24.573757,-61.384075
-9.611266,53.76821
55.622192,29.54872
3.9326801,16.501133
47.051388,36.54572
45.33005,58.11645
30.46789,22.502869
-2.8931475,34.773884
6.2002616,-42.68417
-26.621479,-33.122425
-11.550082,-43.12079
-39.49971,12.178813
-11.287362,-46.36135
-50.03198,-35.228535
-25.927094,-53.0186
0.301816,85.23478
-9.25984,40.428295
-25.608953,45.176884
-8.954522,81.96007
-36.234253,-6.6765733
-39.716694,-33.039635
-12.016276,-5.7910542
26.35293,-10.522738
3.654243,-36.746094
-19.289083,-29.532211
22.50995,-54.269257
-30.294323,10.105699
-78.76484,29.977062
-10.649378,22.916441
-21.90756,-11.168034
-67.15485,19.236263
3.4739633,-33.344765
18.382229,51.67087
-23.987991,32.88899
-48.95034,-49.03602
41.085606,-4.15762
55.89829,30.458305
7.9687123,42.885136
7.0438323,-34.327503
17.67782,2.2866673
48.487465,22.20321
5.4673557,44.072742
-18.99655,51.895424
41.829163,-1.7720226
21.72933,31.475758
7.27688,-84.21639
-67.11511,43.21615
-27.167986,6.4314933
-28.72114,34.384068
34.148045,-52.59169
-59.44889,-39.3188
58.859608,-2.6015003
-17.312284,-57.92897
-39.52133,-51.113373
62.959236,10.631716
-30.209171,1.8080714
-14.263897,-36.629543
-8.00044,-0.5241392
-2.9064264,-59.86013
-1.075014,83.886
-48.742996,-37.631966
30.887869,-38.167957
-0.66826993,40.76175
-32.367607,37.96211
20.238512,-11.589687
-5.0595083,23.29896
73.232155,22.551886
-55.1676,-52.96765
11.970766,37.443066
-31.649702,44.926228
13.527902,22.498318
16.066685,60.306202
51.16433,-20.614536
47.70158,70.10307
-13.686603,-66.43592
-8.836337,59.259922
-26.94619,-25.288282
12.106994,49.32874
-60.839825,45.39187
28.447895,-58.477333
3.442756,-55.85291
-7.922089,-13.985566
26.469183,54.826286
-60.110073,-47.126564
-46.64529,46.186428
40.298862,-54.303604
54.198334,17.41624
-51.018864,4.1929374
64.13614,30.701939
11.375739,-67.17075
13.267615,18.519588
-5.267409,85.15262
54.565384,0.7715741
41.828247,4.6866884
23.18094,59.934586
-47.586494,-45.02803
-13.240258,-13.778178
-41.297707,25.780565
-62.853363,35.19488
-36.59821,-5.358239
-34.38722,65.98842
-58.001003,-26.164604
-25.27547,-22.705063
-31.708076,-21.048727
-0.9335435,14.213059
-24.794174,-13.097607
-66.58815,31.456726
-9.340427,42.772266
-41.45158,10.936977
3.7239616,-26.288504
45.456394,34.171547
29.667969,-24.395409
33.029316,-40.07287
28.162643,-8.3527775
-26.112741,-60.10089
4.0079026,-84.16031
-1.7768272,-34.40167
11.966811,-104.02934
-10.74539,-30.806566
-13.5692,-66.48464
0.57077587,-5.1491184
-40.74724,2.2309594
-3.35423,-80.22857
-29.930319,59.567593
-20.502186,43.953274
17.63153,-38.460255
54.26984,36.279934
-13.973541,27.84152
-48.652287,-51.66336
72.47238,26.64145
64.281555,17.448753
-23.41827,-22.594276
-36.233887,35.090027
-25.393467,44.273018
24.08758,46.078915
66.96581,33.64864
21.49264,16.270521
3.446442,-85.603874
-0.22499268,-17.892204
33.026653,-1.390002
-75.06691,29.61534
17.041924,14.611686
6.4909673,-82.67486
-27.504026,-19.561409
-60.68755,33.02061
13.204142,27.783472
-5.995054,13.911977
-15.303297,10.356491
36.18475,-30.320372
-6.6219344,-46.027893
4.825609,53.56093
-29.071812,68.30314
-1.7359998,-77.00958
-63.357277,29.701508
73.18982,18.393534
1.0758595,-71.284386
-8.540304,17.710262
-14.750231,-66.317635
51.861984,44.24147
-27.786217,-56.80769
-35.613216,8.8744135
16.14883,-2.9447339
24.196941,33.08287
-62.607574,29.76897
-62.394447,-39.83568
-34.997334,45.301617
61.36607,2.0815787
48.056793,48.448627
-14.3653965,4.5099483
-40.97446,-28.048803
-32.298416,14.98995
3.6484478,-27.227936
-35.97256,0.8493132
-41.964405,2.0484502
-2.947252,-83.701706
-7.7365813,-29.130302
-11.797637,62.365234
75.90861,16.996952
-53.670868,-7.130409
12.408394,19.756813
-3.3114939,-83.78641
-3.2631345,-24.24281
57.98958,13.740356
